category,filename,old_status,new_status,source,resolution
blog,blog-exterior-painting.jpg,missing,✅ fixed,Unsplash,Downloaded from https://images.unsplash.com/photo-1562259949-e8e7689d7828
blog,blog-stucco-eifs.jpg,missing,✅ fixed,Unsplash,Downloaded from https://images.unsplash.com/photo-1600585154526-990dced4db0d
blog,blog-property-management.jpg,missing,✅ fixed,Unsplash,Downloaded from https://images.unsplash.com/photo-1560518883-ce09059eeffa
blog,blog-masonry-repair.jpg,missing,✅ fixed,Unsplash,Downloaded from https://images.unsplash.com/photo-1590725140246-20acdee442be
blog,blog-parking-garage.jpg,missing,✅ fixed,Unsplash,Downloaded from https://images.unsplash.com/photo-1594818379496-da1e345b0ded
blog,blog-condo-painting.jpg,missing,✅ fixed,Unsplash,Downloaded from https://images.unsplash.com/photo-1600566753086-00f18fb6b3ea
blog,blog-metal-cladding.jpg,missing,✅ fixed,Unsplash,Downloaded from https://images.unsplash.com/photo-1541888946425-d81bb19240f5
blog,blog-paint-finishes.jpg,missing,✅ fixed,Unsplash,Downloaded from https://images.unsplash.com/photo-1589939705384-5185137a7f0f
project,case-office-tower.jpg,missing,✅ fixed,Unsplash,Downloaded from https://images.unsplash.com/photo-1486406146926-c627a92ad1ab
project,case-waterfront-condo.jpg,missing,✅ fixed,Unsplash,Downloaded from https://images.unsplash.com/photo-1545324418-cc1a3fa10c00
project,case-heritage-building.jpg,missing,✅ fixed,Unsplash,Downloaded from https://images.unsplash.com/photo-1464146072230-91cabc968266
project,case-parking-restoration.jpg,missing,✅ fixed,Unsplash,Downloaded from https://images.unsplash.com/photo-1558618666-fcd25c85cd64
project,case-balcony-restoration.jpg,missing,✅ fixed,Unsplash,Downloaded from https://images.unsplash.com/photo-1600047509358-9dc75507daeb
project,case-retail-plaza.jpg,missing,✅ fixed,Unsplash,Downloaded from https://images.unsplash.com/photo-1555636222-cae831e670b3
project,case-school-interior.jpg,missing,✅ fixed,Unsplash,Downloaded from https://images.unsplash.com/photo-1580587771525-78b9dba3b914
project,case-warehouse-floor.jpg,missing,✅ fixed,Unsplash,Downloaded from https://images.unsplash.com/photo-1566140967404-b8b3932483f5
hero,hero-construction.jpg,missing,✅ fixed,Unsplash,Downloaded from https://images.unsplash.com/photo-1504307651254-35680f356dfd
og,og-image.jpg,missing,✅ fixed,Unsplash,Downloaded from https://images.unsplash.com/photo-1503387762-592deb58ef4e
